,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
3728,Nhiễm trùng đường tiết niệu,đi tiểu rát,khó chịu bàng quang,mùi hôi của nước tiểu,cảm giác muốn đi tiểu liên tục
3729,Bệnh vẩy nến,phát ban da,đau khớp,bong tróc da,da bị vẩy
3730,Bệnh chốc lở,phát ban da,sốt cao,mụn rộp,xung quanh mũi bị đỏ
3731,Nhiễm trùng nấm,ngứa,phát ban da,nổi mụn nút trên da,
3732,Dị ứng,hắt hơi liên tục,run rẩy,ớn lạnh,chảy nước mắt
3733,Bệnh trào ngược dạ dày,đau bụng,ợ chua,loét trên miệng,nôn mửa
3734,Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn
3735,Phản ứng thuốc,ngứa,phát ban da,đau bụng,đi tiểu rát
3736,Bệnh loét dạ dày tá tràng,nôn mửa,khó tiêu,không thèm ăn,đau bụng
3737,AIDS,suy giảm cơ,có đờm trong họng,sốt cao,quan hệ tình dục linh tinh
3738,Bệnh tiểu đường,mệt mỏi,tụt cân,bồn chồn,hôn mê
3739,Viêm dạ dày ruột,nôn mửa,mắt thâm,mất nước,tiêu chảy
3740,Hen phế quản,mệt mỏi,ho,sốt cao,khó thở
3741,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,chóng mặt
3742,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
3743,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,đau cổ,chóng mặt
3744,Liệt (xuất huyết não),nôn mửa,đau đầu,yếu một bên cơ thể,lú lẫn
3745,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
3746,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
3747,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
3748,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
3749,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
3750,Viêm gan A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
3751,Viêm gan B,ngứa,mệt mỏi,hôn mê,vàng da
3752,Viêm gan C,mệt mỏi,vàng da,buồn nôn,không thèm ăn
3753,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da
3754,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao
3755,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,sưng dạ dày
3756,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,tụt cân
3757,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho
3758,Viêm phổi,ớn lạnh,mệt mỏi,ho,sốt cao
3759,Bệnh trĩ lưỡng hình (cọc),táo bón,đau khi đi tiểu,đau hậu môn,phân có máu
3760,Đau tim,nôn mửa,khó thở,đổ mồ hôi,đau ngực
3761,Giãn tĩnh mạch,mệt mỏi,chuột rút,bầm tím,béo phì
3762,Suy giáp,mệt mỏi,tăng cân,tay và chân lạnh,tâm trạng thất thường
3763,Bệnh cường giáp,mệt mỏi,tâm trạng thất thường,tụt cân,bồn chồn
3764,Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đổ mồ hôi
3765,Viêm xương khớp,đau khớp,đau cổ,đau đầu gối,đau khớp hông
3766,Viêm khớp,yếu cơ,cổ cứng,sưng khớp,cứng cổ không xoay được
3767,(Chóng mặt) Chóng mặt tư thế kịch phát,nôn mửa,đau đầu,buồn nôn,cứng cơ
3768,Mụn trứng cá,phát ban da,nổi mụn mủ,mụn đầu đen,thiếu vitamin c
3769,Nhiễm trùng đường tiết niệu,đi tiểu rát,khó chịu bàng quang,mùi hôi của nước tiểu,cảm giác muốn đi tiểu liên tục
3770,Bệnh vẩy nến,phát ban da,đau khớp,bong tróc da,da bị vẩy
3771,Bệnh chốc lở,phát ban da,sốt cao,mụn rộp,xung quanh mũi bị đỏ
3772,Nhiễm trùng nấm,ngứa,phát ban da,nổi mụn nút trên da,
3773,Dị ứng,hắt hơi liên tục,run rẩy,ớn lạnh,chảy nước mắt
3774,Bệnh trào ngược dạ dày,đau bụng,ợ chua,loét trên miệng,nôn mửa
3775,Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn
3776,Phản ứng thuốc,ngứa,phát ban da,đau bụng,đi tiểu rát
3777,Bệnh loét dạ dày tá tràng,nôn mửa,khó tiêu,không thèm ăn,đau bụng
3778,AIDS,suy giảm cơ,có đờm trong họng,sốt cao,quan hệ tình dục linh tinh
3779,Bệnh tiểu đường,mệt mỏi,tụt cân,bồn chồn,hôn mê
3780,Viêm dạ dày ruột,nôn mửa,mắt thâm,mất nước,tiêu chảy
3781,Hen phế quản,mệt mỏi,ho,sốt cao,khó thở
3782,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,chóng mặt
3783,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
3784,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,đau cổ,chóng mặt
3785,Liệt (xuất huyết não),nôn mửa,đau đầu,yếu một bên cơ thể,lú lẫn
3786,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
3787,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
3788,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
3789,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
3790,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
3791,Viêm gan A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
3792,Viêm gan B,ngứa,mệt mỏi,hôn mê,vàng da
3793,Viêm gan C,mệt mỏi,vàng da,buồn nôn,không thèm ăn
3794,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da
3795,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao
3796,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,sưng dạ dày
3797,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,tụt cân
3798,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho
3799,Viêm phổi,ớn lạnh,mệt mỏi,ho,sốt cao
3800,Bệnh trĩ lưỡng hình (cọc),táo bón,đau khi đi tiểu,đau hậu môn,phân có máu
3801,Đau tim,nôn mửa,khó thở,đổ mồ hôi,đau ngực
3802,Giãn tĩnh mạch,mệt mỏi,chuột rút,bầm tím,béo phì
3803,Suy giáp,mệt mỏi,tăng cân,tay và chân lạnh,tâm trạng thất thường
3804,Bệnh cường giáp,mệt mỏi,tâm trạng thất thường,tụt cân,bồn chồn
3805,Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đổ mồ hôi
3806,Viêm xương khớp,đau khớp,đau cổ,đau đầu gối,đau khớp hông
3807,Viêm khớp,yếu cơ,cổ cứng,sưng khớp,cứng cổ không xoay được
3808,(Chóng mặt) Chóng mặt tư thế kịch phát,nôn mửa,đau đầu,buồn nôn,cứng cơ
3809,Mụn trứng cá,phát ban da,nổi mụn mủ,mụn đầu đen,thiếu vitamin c
3810,Nhiễm trùng đường tiết niệu,đi tiểu rát,khó chịu bàng quang,mùi hôi của nước tiểu,cảm giác muốn đi tiểu liên tục
3811,Bệnh vẩy nến,phát ban da,đau khớp,bong tróc da,da bị vẩy
3812,Bệnh chốc lở,phát ban da,sốt cao,mụn rộp,xung quanh mũi bị đỏ
3813,Nhiễm trùng nấm,ngứa,phát ban da,nổi mụn nút trên da,
3814,Dị ứng,hắt hơi liên tục,run rẩy,ớn lạnh,chảy nước mắt
3815,Bệnh trào ngược dạ dày,đau bụng,ợ chua,loét trên miệng,nôn mửa
3816,Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn
3817,Phản ứng thuốc,ngứa,phát ban da,đau bụng,đi tiểu rát
3818,Bệnh loét dạ dày tá tràng,nôn mửa,khó tiêu,không thèm ăn,đau bụng
3819,AIDS,suy giảm cơ,có đờm trong họng,sốt cao,quan hệ tình dục linh tinh
3820,Bệnh tiểu đường,mệt mỏi,tụt cân,bồn chồn,hôn mê
3821,Viêm dạ dày ruột,nôn mửa,mắt thâm,mất nước,tiêu chảy
3822,Hen phế quản,mệt mỏi,ho,sốt cao,khó thở
3823,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,chóng mặt
3824,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
3825,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,đau cổ,chóng mặt
3826,Liệt (xuất huyết não),nôn mửa,đau đầu,yếu một bên cơ thể,lú lẫn
3827,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
3828,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
3829,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
3830,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
3831,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
3832,Viêm gan A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
3833,Viêm gan B,ngứa,mệt mỏi,hôn mê,vàng da
3834,Viêm gan C,mệt mỏi,vàng da,buồn nôn,không thèm ăn
3835,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da
3836,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao
3837,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,sưng dạ dày
3838,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,tụt cân
3839,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho
3840,Viêm phổi,ớn lạnh,mệt mỏi,ho,sốt cao
3841,Bệnh trĩ lưỡng hình (cọc),táo bón,đau khi đi tiểu,đau hậu môn,phân có máu
3842,Đau tim,nôn mửa,khó thở,đổ mồ hôi,đau ngực
3843,Giãn tĩnh mạch,mệt mỏi,chuột rút,bầm tím,béo phì
3844,Suy giáp,mệt mỏi,tăng cân,tay và chân lạnh,tâm trạng thất thường
3845,Bệnh cường giáp,mệt mỏi,tâm trạng thất thường,tụt cân,bồn chồn
3846,Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đổ mồ hôi
3847,Viêm xương khớp,đau khớp,đau cổ,đau đầu gối,đau khớp hông
3848,Viêm khớp,yếu cơ,cổ cứng,sưng khớp,cứng cổ không xoay được
3849,(Chóng mặt) Chóng mặt tư thế kịch phát,nôn mửa,đau đầu,buồn nôn,cứng cơ
3850,Mụn trứng cá,phát ban da,nổi mụn mủ,mụn đầu đen,thiếu vitamin c
3851,Nhiễm trùng đường tiết niệu,đi tiểu rát,khó chịu bàng quang,mùi hôi của nước tiểu,cảm giác muốn đi tiểu liên tục
3852,Bệnh vẩy nến,phát ban da,đau khớp,bong tróc da,da bị vẩy
3853,Bệnh chốc lở,phát ban da,sốt cao,mụn rộp,xung quanh mũi bị đỏ
3854,Nhiễm trùng nấm,ngứa,phát ban da,nổi mụn nút trên da,
3855,Dị ứng,hắt hơi liên tục,run rẩy,ớn lạnh,chảy nước mắt
3856,Bệnh trào ngược dạ dày,đau bụng,ợ chua,loét trên miệng,nôn mửa
3857,Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn
3858,Phản ứng thuốc,ngứa,phát ban da,đau bụng,đi tiểu rát
3859,Bệnh loét dạ dày tá tràng,nôn mửa,khó tiêu,không thèm ăn,đau bụng
3860,AIDS,suy giảm cơ,có đờm trong họng,sốt cao,quan hệ tình dục linh tinh
3861,Bệnh tiểu đường,mệt mỏi,tụt cân,bồn chồn,hôn mê
3862,Viêm dạ dày ruột,nôn mửa,mắt thâm,mất nước,tiêu chảy
3863,Hen phế quản,mệt mỏi,ho,sốt cao,khó thở
3864,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,chóng mặt
3865,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
3866,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,đau cổ,chóng mặt
3867,Liệt (xuất huyết não),nôn mửa,đau đầu,yếu một bên cơ thể,lú lẫn
3868,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
3869,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
3870,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
3871,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
3872,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
3873,Viêm gan A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
3874,Viêm gan B,ngứa,mệt mỏi,hôn mê,vàng da
3875,Viêm gan C,mệt mỏi,vàng da,buồn nôn,không thèm ăn
3876,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da
3877,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao
3878,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,sưng dạ dày
3879,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,tụt cân
3880,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho
3881,Viêm phổi,ớn lạnh,mệt mỏi,ho,sốt cao
3882,Bệnh trĩ lưỡng hình (cọc),táo bón,đau khi đi tiểu,đau hậu môn,phân có máu
3883,Đau tim,nôn mửa,khó thở,đổ mồ hôi,đau ngực
3884,Giãn tĩnh mạch,mệt mỏi,chuột rút,bầm tím,béo phì
3885,Suy giáp,mệt mỏi,tăng cân,tay và chân lạnh,tâm trạng thất thường
3886,Bệnh cường giáp,mệt mỏi,tâm trạng thất thường,tụt cân,bồn chồn
3887,Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đổ mồ hôi
3888,Viêm xương khớp,đau khớp,đau cổ,đau đầu gối,đau khớp hông
3889,Viêm khớp,yếu cơ,cổ cứng,sưng khớp,cứng cổ không xoay được
3890,(Chóng mặt) Chóng mặt tư thế kịch phát,nôn mửa,đau đầu,buồn nôn,cứng cơ
3891,Mụn trứng cá,phát ban da,nổi mụn mủ,mụn đầu đen,thiếu vitamin c
3892,Nhiễm trùng đường tiết niệu,đi tiểu rát,khó chịu bàng quang,mùi hôi của nước tiểu,cảm giác muốn đi tiểu liên tục
3893,Bệnh vẩy nến,phát ban da,đau khớp,bong tróc da,da bị vẩy
3894,Bệnh chốc lở,phát ban da,sốt cao,mụn rộp,xung quanh mũi bị đỏ
3895,Nhiễm trùng nấm,ngứa,phát ban da,nổi mụn nút trên da,
3896,Dị ứng,hắt hơi liên tục,run rẩy,ớn lạnh,chảy nước mắt
3897,Bệnh trào ngược dạ dày,đau bụng,ợ chua,loét trên miệng,nôn mửa
3898,Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn
3899,Phản ứng thuốc,ngứa,phát ban da,đau bụng,đi tiểu rát
3900,Bệnh loét dạ dày tá tràng,nôn mửa,khó tiêu,không thèm ăn,đau bụng
3901,AIDS,suy giảm cơ,có đờm trong họng,sốt cao,quan hệ tình dục linh tinh
3902,Bệnh tiểu đường,mệt mỏi,tụt cân,bồn chồn,hôn mê
3903,Viêm dạ dày ruột,nôn mửa,mắt thâm,mất nước,tiêu chảy
3904,Hen phế quản,mệt mỏi,ho,sốt cao,khó thở
3905,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,chóng mặt
3906,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
3907,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,đau cổ,chóng mặt
3908,Liệt (xuất huyết não),nôn mửa,đau đầu,yếu một bên cơ thể,lú lẫn
3909,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
3910,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
3911,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
3912,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
3913,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
3914,Viêm gan A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
3915,Viêm gan B,ngứa,mệt mỏi,hôn mê,vàng da
3916,Viêm gan C,mệt mỏi,vàng da,buồn nôn,không thèm ăn
3917,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da
3918,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao
3919,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,sưng dạ dày
3920,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,tụt cân
3921,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho
3922,Viêm phổi,ớn lạnh,mệt mỏi,ho,sốt cao
3923,Bệnh trĩ lưỡng hình (cọc),táo bón,đau khi đi tiểu,đau hậu môn,phân có máu
3924,Đau tim,nôn mửa,khó thở,đổ mồ hôi,đau ngực
3925,Giãn tĩnh mạch,mệt mỏi,chuột rút,bầm tím,béo phì
3926,Suy giáp,mệt mỏi,tăng cân,tay và chân lạnh,tâm trạng thất thường
3927,Bệnh cường giáp,mệt mỏi,tâm trạng thất thường,tụt cân,bồn chồn
3928,Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đổ mồ hôi
3929,Viêm xương khớp,đau khớp,đau cổ,đau đầu gối,đau khớp hông
3930,Viêm khớp,yếu cơ,cổ cứng,sưng khớp,cứng cổ không xoay được
3931,(Chóng mặt) Chóng mặt tư thế kịch phát,nôn mửa,đau đầu,buồn nôn,cứng cơ
3932,Mụn trứng cá,phát ban da,nổi mụn mủ,mụn đầu đen,thiếu vitamin c
3933,Nhiễm trùng đường tiết niệu,đi tiểu rát,khó chịu bàng quang,mùi hôi của nước tiểu,cảm giác muốn đi tiểu liên tục
3934,Bệnh vẩy nến,phát ban da,đau khớp,bong tróc da,da bị vẩy
3935,Bệnh chốc lở,phát ban da,sốt cao,mụn rộp,xung quanh mũi bị đỏ
3936,Nhiễm trùng nấm,ngứa,phát ban da,nổi mụn nút trên da,
3937,Dị ứng,hắt hơi liên tục,run rẩy,ớn lạnh,chảy nước mắt
3938,Bệnh trào ngược dạ dày,đau bụng,ợ chua,loét trên miệng,nôn mửa
3939,Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn
3940,Phản ứng thuốc,ngứa,phát ban da,đau bụng,đi tiểu rát
3941,Bệnh loét dạ dày tá tràng,nôn mửa,khó tiêu,không thèm ăn,đau bụng
3942,AIDS,suy giảm cơ,có đờm trong họng,sốt cao,quan hệ tình dục linh tinh
3943,Bệnh tiểu đường,mệt mỏi,tụt cân,bồn chồn,hôn mê
3944,Viêm dạ dày ruột,nôn mửa,mắt thâm,mất nước,tiêu chảy
3945,Hen phế quản,mệt mỏi,ho,sốt cao,khó thở
3946,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,chóng mặt
3947,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
3948,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,đau cổ,chóng mặt
3949,Liệt (xuất huyết não),nôn mửa,đau đầu,yếu một bên cơ thể,lú lẫn
3950,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
3951,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
3952,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
3953,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
3954,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
3955,Viêm gan A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
3956,Viêm gan B,ngứa,mệt mỏi,hôn mê,vàng da
3957,Viêm gan C,mệt mỏi,vàng da,buồn nôn,không thèm ăn
3958,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da
3959,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao
3960,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,sưng dạ dày
3961,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,tụt cân
3962,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho
3963,Viêm phổi,ớn lạnh,mệt mỏi,ho,sốt cao
3964,Bệnh trĩ lưỡng hình (cọc),táo bón,đau khi đi tiểu,đau hậu môn,phân có máu
3965,Đau tim,nôn mửa,khó thở,đổ mồ hôi,đau ngực
3966,Giãn tĩnh mạch,mệt mỏi,chuột rút,bầm tím,béo phì
3967,Suy giáp,mệt mỏi,tăng cân,tay và chân lạnh,tâm trạng thất thường
3968,Bệnh cường giáp,mệt mỏi,tâm trạng thất thường,tụt cân,bồn chồn
3969,Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đổ mồ hôi
3970,Viêm xương khớp,đau khớp,đau cổ,đau đầu gối,đau khớp hông
3971,Viêm khớp,yếu cơ,cổ cứng,sưng khớp,cứng cổ không xoay được
3972,(Chóng mặt) Chóng mặt tư thế kịch phát,nôn mửa,đau đầu,buồn nôn,cứng cơ
3973,Mụn trứng cá,phát ban da,nổi mụn mủ,mụn đầu đen,thiếu vitamin c
3974,Nhiễm trùng đường tiết niệu,đi tiểu rát,khó chịu bàng quang,mùi hôi của nước tiểu,cảm giác muốn đi tiểu liên tục
3975,Bệnh vẩy nến,phát ban da,đau khớp,bong tróc da,da bị vẩy
3976,Bệnh chốc lở,phát ban da,sốt cao,mụn rộp,xung quanh mũi bị đỏ
3977,Nhiễm trùng nấm,ngứa,phát ban da,nổi mụn nút trên da,
3978,Dị ứng,hắt hơi liên tục,run rẩy,ớn lạnh,chảy nước mắt
3979,Bệnh trào ngược dạ dày,đau bụng,ợ chua,loét trên miệng,nôn mửa
3980,Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn
3981,Phản ứng thuốc,ngứa,phát ban da,đau bụng,đi tiểu rát
3982,Bệnh loét dạ dày tá tràng,nôn mửa,khó tiêu,không thèm ăn,đau bụng
3983,AIDS,suy giảm cơ,có đờm trong họng,sốt cao,quan hệ tình dục linh tinh
3984,Bệnh tiểu đường,mệt mỏi,tụt cân,bồn chồn,hôn mê
3985,Viêm dạ dày ruột,nôn mửa,mắt thâm,mất nước,tiêu chảy
3986,Hen phế quản,mệt mỏi,ho,sốt cao,khó thở
3987,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,chóng mặt
3988,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
3989,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,đau cổ,chóng mặt
3990,Liệt (xuất huyết não),nôn mửa,đau đầu,yếu một bên cơ thể,lú lẫn
3991,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
3992,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
3993,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
3994,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
3995,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
3996,Viêm gan A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
3997,Viêm gan B,ngứa,mệt mỏi,hôn mê,vàng da
3998,Viêm gan C,mệt mỏi,vàng da,buồn nôn,không thèm ăn
3999,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da
4000,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao
4001,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,sưng dạ dày
4002,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,tụt cân
4003,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho
4004,Viêm phổi,ớn lạnh,mệt mỏi,ho,sốt cao
4005,Bệnh trĩ lưỡng hình (cọc),táo bón,đau khi đi tiểu,đau hậu môn,phân có máu
4006,Đau tim,nôn mửa,khó thở,đổ mồ hôi,đau ngực
4007,Giãn tĩnh mạch,mệt mỏi,chuột rút,bầm tím,béo phì
4008,Suy giáp,mệt mỏi,tăng cân,tay và chân lạnh,tâm trạng thất thường
4009,Bệnh cường giáp,mệt mỏi,tâm trạng thất thường,tụt cân,bồn chồn
4010,Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đổ mồ hôi
4011,Viêm xương khớp,đau khớp,đau cổ,đau đầu gối,đau khớp hông
4012,Viêm khớp,yếu cơ,cổ cứng,sưng khớp,cứng cổ không xoay được
4013,(Chóng mặt) Chóng mặt tư thế kịch phát,nôn mửa,đau đầu,buồn nôn,cứng cơ
4014,Mụn trứng cá,phát ban da,nổi mụn mủ,mụn đầu đen,thiếu vitamin c
4015,Nhiễm trùng đường tiết niệu,đi tiểu rát,khó chịu bàng quang,mùi hôi của nước tiểu,cảm giác muốn đi tiểu liên tục
4016,Bệnh vẩy nến,phát ban da,đau khớp,bong tróc da,da bị vẩy
4017,Bệnh chốc lở,phát ban da,sốt cao,mụn rộp,xung quanh mũi bị đỏ
4018,Nhiễm trùng nấm,ngứa,phát ban da,nổi mụn nút trên da,
4019,Dị ứng,hắt hơi liên tục,run rẩy,ớn lạnh,chảy nước mắt
4020,Bệnh trào ngược dạ dày,đau bụng,ợ chua,loét trên miệng,nôn mửa
4021,Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn
4022,Phản ứng thuốc,ngứa,phát ban da,đau bụng,đi tiểu rát
4023,Bệnh loét dạ dày tá tràng,nôn mửa,khó tiêu,không thèm ăn,đau bụng
4024,AIDS,suy giảm cơ,có đờm trong họng,sốt cao,quan hệ tình dục linh tinh
4025,Bệnh tiểu đường,mệt mỏi,tụt cân,bồn chồn,hôn mê
4026,Viêm dạ dày ruột,nôn mửa,mắt thâm,mất nước,tiêu chảy
4027,Hen phế quản,mệt mỏi,ho,sốt cao,khó thở
4028,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,chóng mặt
4029,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
4030,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,đau cổ,chóng mặt
4031,Liệt (xuất huyết não),nôn mửa,đau đầu,yếu một bên cơ thể,lú lẫn
4032,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
4033,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
4034,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
4035,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
4036,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
4037,Viêm gan A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
4038,Viêm gan B,ngứa,mệt mỏi,hôn mê,vàng da
4039,Viêm gan C,mệt mỏi,vàng da,buồn nôn,không thèm ăn
4040,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da
4041,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao
4042,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,sưng dạ dày
4043,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,tụt cân
4044,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho
4045,Viêm phổi,ớn lạnh,mệt mỏi,ho,sốt cao
4046,Bệnh trĩ lưỡng hình (cọc),táo bón,đau khi đi tiểu,đau hậu môn,phân có máu
4047,Đau tim,nôn mửa,khó thở,đổ mồ hôi,đau ngực
4048,Giãn tĩnh mạch,mệt mỏi,chuột rút,bầm tím,béo phì
4049,Suy giáp,mệt mỏi,tăng cân,tay và chân lạnh,tâm trạng thất thường
4050,Bệnh cường giáp,mệt mỏi,tâm trạng thất thường,tụt cân,bồn chồn
